gs83-eth0	172.16.6.106
s1-eth1626	None
sat328-eth6	10.0.115.49
gs83-eth1	10.0.115.50
gs84-eth0	172.16.6.107
s1-eth1627	None
sat669-eth6	10.0.223.129
gs84-eth1	10.0.223.130
gs85-eth0	172.16.6.108
s1-eth1628	None
sat1336-eth7	10.1.192.1
gs85-eth1	10.1.192.2
gs86-eth0	172.16.6.109
s1-eth1629	None
sat1258-eth7	10.1.166.129
gs86-eth1	10.1.166.130
gs87-eth0	172.16.6.110
s1-eth1630	None
sat1285-eth6	10.1.175.113
gs87-eth1	10.1.175.114
gs88-eth0	172.16.6.111
s1-eth1631	None
sat974-eth6	10.1.73.49
gs88-eth1	10.1.73.50
gs89-eth0	172.16.6.112
s1-eth1632	None
sat629-eth7	10.0.210.225
gs89-eth1	10.0.210.226
gs90-eth0	172.16.6.113
s1-eth1633	None
sat1286-eth6	10.1.175.209
gs90-eth1	10.1.175.210
gs91-eth0	172.16.6.114
s1-eth1634	None
sat897-eth5	10.1.48.17
gs91-eth1	10.1.48.18
gs92-eth0	172.16.6.115
s1-eth1635	None
sat327-eth5	10.0.114.193
gs92-eth1	10.0.114.194
gs93-eth0	172.16.6.116
s1-eth1636	None
sat1336-eth8	10.1.192.17
gs93-eth1	10.1.192.18
gs94-eth0	172.16.6.117
s1-eth1637	None
sat583-eth8	10.0.195.161
gs94-eth1	10.0.195.162
gs95-eth0	172.16.6.118
s1-eth1638	None
sat1258-eth8	10.1.166.145
gs95-eth1	10.1.166.146
gs96-eth0	172.16.6.119
s1-eth1639	None
sat815-eth6	10.1.20.209
gs96-eth1	10.1.20.210
gs97-eth0	172.16.6.120
s1-eth1640	None
sat383-eth5	10.0.132.113
gs97-eth1	10.0.132.114
gs98-eth0	172.16.6.121
s1-eth1641	None
sat515-eth5	10.0.174.65
gs98-eth1	10.0.174.66
gs99-eth0	172.16.6.122
s1-eth1642	None
sat243-eth5	10.0.86.209
gs99-eth1	10.0.86.210
sat0-eth0	172.16.0.5
s1-eth1	None
sat0-eth1	10.0.6.225
sat1-eth1	10.0.6.226
sat0-eth2	10.0.12.97
sat18-eth1	10.0.12.98
sat0-eth3	10.0.15.17
sat26-eth1	10.0.15.18
sat0-eth4	10.2.5.129
sat1537-eth1	10.2.5.130
sat1-eth0	172.16.0.6
s1-eth2	None
sat0-eth1	10.0.6.225
